antenna,frequency,2mm,5mm,10mm,15mm,21mm,25mm,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24
C6,6,14.4,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
C13,13,14.4,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
C30,30,14.4,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
C64,64,14.2,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
C128,128,15.8,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
C150,150,16.8,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
C220,220,16.2,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
M300,300,,,,,20.4,,1,1,,,,,,1,1,,1,1,,,1,1,,,,,,,,
M450,450,,,,,20.6,,1,1,,,,,,1,1,,1,1,,,1,1,,,,,,,,
D750,750,,,,15.4,,21.5,1,1,1,,,,,,1,,,1,,1,,,1,1,,,,,,
D835,835,,4.6,,15,,20.8,1,1,,,,,,1,,,1,1,1,1,,,,1,,,,,,
D900,900,,4.7,,14.6,,20.4,1,1,,,,,,1,1,,1,1,,,1,1,,,,,,,,
D1450,1450,,5.4,9.4,,,18.3,1,1,,,1,,1,,,,1,,,,1,,1,1,,,,,,
D1500,1500,,5.2,9.5,,,18.1,1,1,,,1,,1,,,,1,,,,1,,1,1,,,,,,
D1640,1640,,5.2,9.2,,,17.9,1,1,,,1,,1,,,,1,,,,1,,1,1,,,,,,
D1750,1750,,5,9,,,17.7,1,1,,,1,,1,,,,1,,,,1,,1,1,,,,,,
D1800,1800,,5,8.9,,,17.7,1,1,,,,,,1,1,,1,,1,,,,,1,,,,,,
D1900,1900,,5,8.7,,,17.6,1,1,,,,,,1,1,,1,,1,,,,,1,,,,,,
D1950,1950,,5,8.7,,,17.7,1,1,,,,,,1,,1,,,1,1,1,1,,,,,,,,
D2000,2000,,5,8.6,,,17.4,1,1,,,,,,1,,1,,,1,1,1,1,,,,,,,,
D2100,2100,,5,8.5,,,17.3,1,1,,,,,,1,,1,,,1,1,1,1,,,,,,,,
D2300,2300,,4.9,8.1,,,17.4,1,1,1,1,,,1,,,,,,,,1,,1,,,,,,,
D2450,2450,,4.7,8.1,,,17.4,1,1,,,1,1,,,,1,,,,,,,,,,,,1,1,
D2600,2600,,4.9,8.1,,,17.4,1,1,,1,,1,,,,,,,1,,,,,1,,,,,,1
D3000,3000,,4.5,7.7,,,17.1,1,1,,1,,1,,,,,,,1,,,,,1,,,,,,1
D3500,3500,,4.6,7.8,,,16.4,1,1,,1,1,,1,,,,,,,,,,,,,,1,,,1
D3700,3700,,4.6,7.7,,,15.8,1,1,,1,1,,1,,,,,,,,,,,,,,1,,,1
D4200,4200,,4.6,7.6,,,15.7,1,1,,,1,1,1,,,,,,,,,,,,,,1,,,1
D4600,4600,,4.6,7.7,,,15.2,1,1,,1,1,1,1,,,,,,,,,,,,,,1,,,1
D5000,5000,,4.1,7,,,13.9,1,1,1,,,,,,,,,,,,,,,,1,1,,1,1,
D5200,5200,,4.1,7,,,13.9,1,1,1,,,,,,,,,,,,,,,,1,1,,1,1,
D5500,5500,,4.1,7.1,,,13.9,1,1,1,,,,,,,,,,,,,,,,1,1,,1,1,
D5600,5600,,4.1,7,,,13.9,1,1,1,,,,,,,,,,,,,,,,1,1,,1,1,
D5800,5800,,4.1,7.2,,,14,1,1,1,,,,,,,,,,,,,,,,1,1,,1,1,
D7000,7000,,4,,,,,1,1,1,,,,,,,,,,,,,,,,1,1,,1,1,
D9000,9000,,4.1,,,,,1,1,1,,,,,,,,,,,,,,,,1,1,,1,1,
P6500,6500,5.2,,,,,,1,1,1,,,,,,,,,,,,,,,,1,1,,1,1,
V750-V1,750,5.1,,,,,,1,1,,,,,,,1,,,1,,1,1,1,1,,,,,,,
V835-V1,835,5.1,,,,,,1,1,,,,,,1,1,,1,1,1,,,,1,,,,,,,
V1950-V1,1950,5.1,,,,,,1,1,,,,,,,,1,,,1,1,,1,1,1,,,,,,
V3700-V1,3700,9.6,,,,,,1,1,,1,,1,1,,,,,,,,,1,,,,,1,,,1
V300-V2,300,2.6,,,,,,1,1,,,,,,1,1,,1,1,,,1,1,,,,,,,,
V450-V2,450,2.6,,,,,,1,1,,,,,,1,1,,1,1,,,1,1,,,,,,,,
V750-V2,750,2.6,,,,,,1,1,,,,,,,1,,,1,,1,1,1,1,,,,,,,
V835-V2,835,2.6,,,,,,1,1,,,,,,1,1,,1,1,1,,,,1,,,,,,,
V1950-V2,1950,2.5,,,,,,1,1,,,,,,,,1,,,1,1,,1,1,1,,,,,,